IDX,Voltage 1,Voltage 2,Target Wl
0,0.9479684829711914,0.9732074737548828,1627.5
1,1.000339388847351,1.0397753715515137,1627.5045
2,0.9694216251373291,0.9855114817619324,1627.509
3,0.860262930393219,1.0618594884872437,1627.5135
4,0.9874044060707092,1.0034942626953125,1627.518
5,0.955855667591095,1.0236854553222656,1627.5225
6,1.0921462774276733,1.018322229385376,1627.527
7,1.0924617052078247,1.0426146984100342,1627.5315
8,0.9391348361968994,1.062174916267395,1627.536
9,0.9179971218109131,0.9369264245033264,1627.5405
10,0.9631118774414062,1.0839436054229736,1627.545
11,0.9347180128097534,1.0233700275421143,1627.5495
12,0.942605197429657,1.0703775882720947,1627.554
13,0.9643738269805908,1.0176912546157837,1627.5585
14,0.9795172214508057,0.9924522042274475,1627.563
15,1.0031788349151611,0.9788862466812134,1627.5675
16,0.9561711549758911,1.0697466135025024,1627.572
17,0.9892973303794861,1.0965631008148193,1627.5765
18,1.042930245399475,1.01390540599823,1627.581
19,1.071324110031128,0.9397658109664917,1627.5855
20,0.9656357765197754,1.018322229385376,1627.59
21,1.01390540599823,1.0350430011749268,1627.5945
22,0.9243069291114807,1.0691156387329102,1627.599
23,0.8571080565452576,1.062174916267395,1627.6035
24,0.9498614072799683,0.9627963900566101,1627.608
25,0.9804636836051941,1.1142303943634033,1627.6125
26,0.9517543315887451,0.9126338362693787,1627.617
27,0.8785611987113953,0.9094789624214172,1627.6215
28,1.044823169708252,0.9258843660354614,1627.626
29,1.0072801113128662,1.0161137580871582,1627.6305
30,0.9321941137313843,0.9807791709899902,1627.635
31,0.9889818429946899,0.9586950540542603,1627.6395
32,0.9189435839653015,0.9978154897689819,1627.644
33,0.949230432510376,0.9328250885009766,1627.6485
34,1.027155876159668,0.9662667512893677,1627.653
35,0.8325000405311584,0.908847987651825,1627.6575
36,0.9142112731933594,0.869096577167511,1627.662
37,0.9896128177642822,0.9435516595840454,1627.6665
38,1.066907286643982,0.9441826343536377,1627.671
39,0.9167351722717285,1.0413527488708496,1627.6755
40,0.9151577353477478,1.035673975944519,1627.68
41,0.9627963900566101,0.886763870716095,1627.6845
42,1.0016013383865356,0.8886567950248718,1627.689
43,0.9135802984237671,0.9561711549758911,1627.6935
44,1.048924446105957,0.949230432510376,1627.698
45,1.0265249013900757,1.0397753715515137,1627.7025
46,0.9489149451255798,0.9511233568191528,1627.707
47,0.9520698189735413,1.0514483451843262,1627.7115
48,1.0167447328567505,0.9334560632705688,1627.716
49,0.8918116688728333,0.8924426436424255,1627.7205
50,1.0366204977035522,0.9501768946647644,1627.725
51,0.9722610116004944,0.9678441882133484,1627.7295
52,0.9896128177642822,0.9321941137313843,1627.734
53,1.115176796913147,0.9864579439163208,1627.7385
54,0.9091634750366211,0.9990774393081665,1627.743
55,0.9990774393081665,0.9296702146530151,1627.7475
56,1.01106595993042,0.9763623476028442,1627.752
57,1.0691156387329102,0.9280927777290344,1627.7565
58,0.9833030700683594,0.958064079284668,1627.761
59,0.9113718867301941,1.057758092880249,1627.7655
