IDX,Voltage
0,-0.00016050834
1,-0.00163544363
2,-0.00454489341
3,0.001767014
4,-0.00607920239
5,-0.00500008715
6,0.0026090089
7,-0.00494101832
8,-0.00149419515
9,-0.00558297754
10,-0.00649338847
11,-0.00256268292
12,0.00291653082
13,0.00151985269
14,0.00179267311
15,0.00238892765
16,0.00162827865
17,0.00180735226
18,0.00177718372
19,-0.000909801479
20,-0.000780002807
21,-0.000980707561
22,-0.00114781468
23,-0.000252810671
24,-0.00734225277
25,0.00338502999
26,0.000221278164
27,0.00171567226
28,-0.000545348151
29,-0.000511914895
30,-0.00356361146
31,0.00277227602
32,0.00283397537
33,0.00265155484
34,-0.00523555198
35,-0.00332216919
36,0.000993189024
37,0.00178331363
38,-0.00203798047
39,0.00151590694
40,0.00440958638
41,0.00364056431
42,0.00344476823
43,0.00253205509
44,0.00250313125
45,0.00346106786
46,0.00296135498
47,0.00174629877
48,0.00210783994
49,-0.00565198116
50,-0.00567469265
51,0.00144784276
52,0.00258095422
53,0.00412092426
54,-0.00132244939
55,-0.00594350853
56,-0.000386977912
57,-0.0059289351
58,0.000229651146
59,0.000217543827
60,-0.00624077839
61,0.00556121723
62,0.00151379309
63,-3.67808985e-05
64,0.00188027813
65,0.0025209459
66,-0.00223084075
67,0.00184090286
68,-0.0016590124
69,0.0017356124
70,0.00259441194
71,0.00540587673
72,-0.00026539948
73,-0.0078285663
74,0.00358892897
75,-0.00597657763
76,0.00209933773
77,-0.0046783442
78,-0.00439733879
79,0.00374270763
80,0.00267347961
81,-0.0055601955
82,0.00072453741
83,0.00246125469
84,0.00345132096
85,-0.00576276749
86,-0.00174687585
87,-0.00336482081
88,0.00163220088
89,0.00267012106
90,0.00259629087
91,0.00115679675
92,0.00180338299
93,-0.0005641139
94,-0.00529338775
95,-0.00501257025
96,-0.000897729316
97,0.00503482352
98,0.00365779177
99,-0.00496106415
100,-0.00613355038
101,0.00264784402
102,-0.00277322862
103,-0.000289896077
104,-0.00190995503
105,-0.00516498655
106,0.00301570301
107,0.00310654925
108,-0.000303905838
109,-0.00691499642
110,0.00199989547
111,-0.00448540176
112,-0.000221373926
113,-0.00234445713
114,-0.00524515802
115,0.00304971159
116,0.00560489053
117,0.00519293537
118,-0.00453979679
119,0.00410949796
120,-0.00690163253
121,0.00148082968
122,-0.00656137043
123,-0.00164272441
124,0.00326425014
125,0.00253096288
126,0.00326935839
127,0.00221906077
128,0.0018156782
129,0.00258669671
130,-0.00643862953
131,0.00349115421
132,0.000183171106
133,0.00288179418
134,0.00249244488
135,0.000841089781
136,-5.43606212e-05
137,0.00257792442
138,0.00297850025
139,-0.00536727658
140,-0.00457453341
141,-0.00249789511
142,0.00311500442
143,0.00266665681
144,0.000780012782
145,0.000837179189
146,0.00255764365
147,0.000772226995
148,-0.00511871794
149,-0.00610663471
150,-0.0011794512
151,0.00515388883
152,0.00366260643
153,-0.00431781318
154,-0.00583191197
155,0.00368130187
156,-0.00727955532
157,-0.00046754871
158,-0.00337904198
159,-0.00537323048
160,0.00301183945
161,0.00550672834
162,9.00585309e-05
163,-0.00547334208
164,0.00369461874
165,-0.00729930756
166,0.00149776354
167,-0.00266732748
168,-0.00184927734
169,0.00304581287
170,0.00559138577
171,-0.00488264238
172,-0.00342327894
173,-0.00204184403
174,-0.00780682943
175,0.0014936299
176,0.00204568261
177,-0.000723775869
178,0.00498847269
179,0.00181682908
180,0.0032329894
181,0.000254312119
182,0.00447203731
183,-0.000380613078
184,0.00178421794
185,0.000676331181
186,0.00206334453
187,0.00552138397
188,0.000671152374
189,0.00343720549
190,-0.000370631251
191,0.0032173943
192,-0.00265071074
193,0.00181623025
194,-0.00117765446
195,0.0016387536
196,0.003110495
197,0.00529999906
198,0.0030373577
199,-0.00493709609
200,-0.000955271502
201,-0.0033546511
202,0.0016808886
203,-0.00378981091
204,-0.000898586591
205,0.00220488663
206,-0.00524810564
207,0.00515165764
208,0.00240634299
209,0.00478887171
210,0.00268960323
211,0.00333124564
212,0.00340703695
213,0.00181822651
214,0.00403389454
215,-0.00352976727
216,0.0024628987
217,0.00188391865
218,0.00208956731
219,0.00182171429
220,0.00187345533
221,0.00192587739
222,0.00149617821
223,-0.00398260062
224,-0.00405567921
225,0.00149215028
226,0.00323712304
227,0.00081125
228,0.00289588614
229,0.00349380823
230,-0.0021180111
231,0.00188666649
232,6.68185113e-05
233,0.00166094846
234,-0.00433388975
235,0.00233935913
236,0.0044835458
237,0.00548381706
238,-0.00573987974
239,-0.00603015054
240,-0.00265999966
241,0.00180678858
242,0.0031263015
243,0.00315529565
244,-0.00612966331
245,0.00112021635
246,0.00251386465
247,0.00249046025
248,-0.000783149949
249,-0.00595067197
250,-0.00666985501
251,0.00416209628
252,0.000486101366
253,0.00359810056
254,0.00553088431
255,-0.00615507584
256,0.00438996335
257,-0.0064202277
258,0.00334469173
259,0.00178985472
260,0.0025561405
261,-8.64315959e-05
262,0.00185906978
263,0.00370865202
264,0.00392186345
265,0.00313625981
266,-0.00210928585
267,-0.00320692045
268,0.00307858839
269,0.00284911249
270,0.00169374749
271,-0.00330008005
272,0.00420622755
273,0.00324334701
274,0.00454732362
275,-0.00745078438
276,-0.00788449962
277,-6.67380202e-05
278,0.00169594353
279,0.00197791202
280,-1.72635781e-05
281,-0.00588296008
282,0.00282876141
283,0.000456249948
284,0.000255920965
285,0.00231330072
286,-0.00489117974
287,-0.0059837881
288,-0.00342572154
289,-0.00247284672
290,0.000293252936
291,-0.00641359279
292,0.00279489369
293,0.00283295372
294,0.000612400638
295,-0.000293630413
296,-0.00547948387
297,0.00542560547
298,0.00203950567
299,0.00181025283
300,0.00526849176
301,0.00293021183
302,0.00297066743
303,0.000693135816
304,-0.00587600806
305,0.00278839963
306,0.00153536559
307,0.00184197154
308,0.00345561898
309,-0.00270712556
310,0.000461675319
311,0.000476542357
312,-0.00144931232
313,-0.00682795511
314,-0.00765178265
315,0.00236627482
316,0.00200634249
317,0.00153958142
318,-0.00511318686
319,-0.00431384392
320,-0.00437002381
321,0.00252664135
322,0.000577511272
323,-0.00203432832
324,0.00497126875
325,0.00290941441
326,0.00164771378
327,-0.00496066485
328,-0.00158555801
329,-0.00639611877
330,0.00261182729
331,-0.00494563344
332,-0.00311427751
333,-0.00506766982
334,-0.000232576935
335,0.00325662872
336,-0.00110508086
337,0.00524502868
338,-0.00466884386
339,0.00278147112
340,0.00254990489
341,0.00266416717
342,-0.0054987311
343,-0.00446440482
344,0.0034737859
345,0.00177509338
346,0.00215143104
347,0.00173834861
348,0.00438775567
349,0.00463411842
350,0.00329393718
351,-0.00234842639
352,0.00240851552
353,0.00147623807
354,0.00299777101
355,0.00247937458
356,0.00215700915
357,-0.00541491912
358,0.0047682857
359,0.00244915901
360,-0.00787261535
361,-0.00126770207
362,-0.0044769701
363,0.00203411545
364,0.00266469569
365,0.00191468601
366,0.00466227881
367,0.00325261243
368,0.00324812652
369,-0.00511128442
370,0.000812107276
371,-0.00151198628
372,0.00206760739
373,-0.00483207575
374,0.00220488663
375,-0.00165197818
376,0.00314192011
377,0.00486284277
378,0.00272192077
379,0.00281980123
380,-0.00415235009
381,-0.00173724629
382,-0.00675184673
383,-0.00156735594
384,-0.00232078266
385,-0.00576505735
386,-0.00480921153
387,0.00268070172
388,0.00452627964
389,0.00269078926
390,-0.00722214237
391,0.0027502339
392,-0.0064459925
393,0.00156430107
394,0.000395513582
395,-0.00438206082
