IDX,Voltage,Target Wl
0,3.232,1627.5
1,-0.765,1627.5045
2,-3.837,1627.509
3,1.264,1627.5135
4,4.181,1627.518
5,-3.803,1627.5225
6,0.561,1627.527
7,1.094,1627.5315
8,3.857,1627.536
9,-4.122,1627.5405
10,-3.982,1627.545
11,1.747,1627.5495
12,-1.045,1627.554
13,3.064,1627.5585
14,0.651,1627.563
15,-4.731,1627.5675
16,1.905,1627.572
17,-1.944,1627.5765
18,-2.235,1627.581
19,-1.68,1627.5855
20,1.543,1627.59
21,-1.294,1627.5945
22,2.122,1627.599
23,2.403,1627.6035
24,3.332,1627.608
25,-1.506,1627.6125
26,-0.577,1627.617
27,3.188,1627.6215
28,-0.329,1627.626
29,-1.266,1627.6305
30,-3.165,1627.635
31,4.613,1627.6395
32,0.637,1627.644
33,1.751,1627.6485
34,-0.266,1627.653
35,2.007,1627.6575
36,-1.359,1627.662
37,2.296,1627.6665
38,-1.716,1627.671
39,-4.525,1627.6755
40,-4.036,1627.68
41,-4.845,1627.6845
42,4.537,1627.689
43,-3.122,1627.6935
44,1.41,1627.698
45,-2.216,1627.7025
46,-1.743,1627.707
47,1.013,1627.7115
48,-4.131,1627.716
49,1.556,1627.7205
50,-2.778,1627.725
51,-4.493,1627.7295
52,-4.192,1627.734
53,3.789,1627.7385
54,3.166,1627.743
55,4.015,1627.7475
56,-4.266,1627.752
57,3.671,1627.7565
58,-4.873,1627.761
59,2.986,1627.7655
60,1.875,1627.77
61,2.437,1627.7745
62,-1.997,1627.779
63,-4.748,1627.7835
64,3.803,1627.788
65,-0.696,1627.7925
66,-4.315,1627.797
67,3.886,1627.8015
68,0.729,1627.806
69,1.252,1627.8105
70,0.566,1627.815
71,-3.338,1627.8195
72,2.971,1627.824
73,-1.661,1627.8285
74,3.166,1627.833
75,1.255,1627.8375
76,-1.261,1627.842
77,1.003,1627.8465
78,1.12,1627.851
79,-3.628,1627.8555
80,0.325,1627.86
81,-3.268,1627.8645
82,1.369,1627.869
83,0.903,1627.8735
84,-4.693,1627.878
85,4.952,1627.8825
86,2.882,1627.887
87,3.369,1627.8915
88,0.328,1627.896
89,-4.126,1627.9005
90,-3.558,1627.905
91,3.041,1627.9095
92,-3.89,1627.914
93,3.622,1627.9185
94,-0.287,1627.923
95,-4.005,1627.9275
96,-4.862,1627.932
97,3.9,1627.9365
98,-3.085,1627.941
99,-4.304,1627.9455
100,-2.983,1627.95
101,2.773,1627.9545
102,0.973,1627.959
103,-4.685,1627.9635
104,3.663,1627.968
105,-0.914,1627.9725
106,4.141,1627.977
107,4.931,1627.9815
108,2.404,1627.986
109,-0.492,1627.9905
110,-0.991,1627.995
111,3.617,1627.9995
112,-0.084,1628.004
