IDX,Voltage,Target Wl
0,1.54115428,1650.801
1,1.49321572,1650.8055
2,2.11388248,1650.81
3,3.86333641,1650.8145
4,4.77563387,1650.819
5,1.67687508,1650.8235
6,1.69427788,1650.828
7,2.97622272,1650.8325
8,5.01377971,1650.837
9,2.49891447,1650.8415
10,1.5364403,1650.846
11,1.66077199,1650.8505
12,1.67787703,1650.855
13,2.26596636,1650.8595
14,4.69202946,1650.864
15,3.49319,1650.8685
16,1.63618618,1650.873
17,1.61140897,1650.8775
18,2.78744125,1650.882
19,5.11092182,1650.8865
20,2.8673968,1650.891
21,1.6024233,1650.8955
22,1.70565703,1650.9
23,1.57165572,1650.9045
24,2.71434618,1650.909
25,4.47014879,1650.9135
26,3.97065712,1650.918
27,1.92084806,1650.9225
28,1.49984773,1650.927
29,2.13467977,1650.9315
30,4.5086728,1650.936
31,3.53808482,1650.9405
32,1.71443058,1650.945
33,1.53291965,1650.9495
34,2.51781879,1650.954
35,4.99847214,1650.9585
36,4.05673451,1650.963
37,4.7242349,1650.9675
38,2.26505402,1650.972
39,1.53247209,1650.9765
40,1.82583839,1650.981
41,3.45825565,1650.9855
42,4.70249664,1650.99
43,2.04662835,1650.9945
44,1.48445435,1650.999
45,2.07839741,1651.0035
46,4.34215195,1651.008
47,3.71508262,1651.0125
48,1.76138207,1651.017
49,1.97465015,1651.0215
50,1.47875821,1651.026
51,1.69837317,1651.0305
52,3.53755293,1651.035
53,4.87117196,1651.0395
54,2.17123745,1651.044
55,1.47579043,1651.0485
56,1.82322985,1651.053
57,3.71709812,1651.0575
58,4.27463603,1651.062
59,1.80211292,1651.0665
60,1.47854831,1651.071
61,1.47243904,1651.0755
62,1.86862046,1651.08
63,3.44922123,1651.0845
64,4.86133096,1651.089
65,2.34531125,1651.0935
66,1.52005315,1651.098
67,1.80565335,1651.1025
68,3.70447969,1651.107
69,4.27117946,1651.1115
70,2.0074844,1651.116
71,1.46436243,1651.1205
72,2.07085164,1651.125
73,4.20673582,1651.1295
74,3.14426078,1651.134
75,4.68383746,1651.1385
76,2.64854865,1651.143
77,1.55315212,1651.1475
78,1.60345184,1651.152
79,3.30458839,1651.1565
80,4.67332401,1651.161
81,2.29784999,1651.1655
82,1.51818161,1651.17
83,1.72338112,1651.1745
84,3.58073445,1651.179
85,4.4418687,1651.1835
86,1.97217303,1651.188
87,1.45263423,1651.1925
88,1.95892,1651.197
89,1.80033298,1651.2015
90,3.92426559,1651.206
91,4.76047658,1651.2105
92,2.46905219,1651.215
93,1.46258787,1651.2195
94,1.7696112,1651.224
95,3.31773016,1651.2285
96,4.51971394,1651.233
97,2.19579539,1651.2375
98,1.44443228,1651.242
99,1.89798924,1651.2465
100,1.73507407,1651.251
101,3.55098167,1651.2555
102,4.79375226,1651.26
103,2.19925009,1651.2645
104,1.45155613,1651.269
105,1.53774913,1651.2735
106,3.1654697,1651.278
107,4.61413563,1651.2825
108,2.46652295,1651.287
109,1.46876027,1651.2915
110,1.68187685,1651.296
111,3.72640462,1651.3005
112,3.33403615,1651.305
113,4.53524814,1651.3095
114,2.40065821,1651.314
115,1.50603488,1651.3185
116,1.56282606,1651.323
117,2.6628121,1651.3275
118,4.78462365,1651.332
119,2.55839279,1651.3365
120,1.50739562,1651.341
121,1.6217939,1651.3455
122,2.84795354,1651.35
123,4.75308636,1651.3545
124,1.48889014,1651.359
125,1.69443928,1651.3635
126,3.44122894,1651.368
127,4.33391214,1651.3725
128,2.10158232,1651.377
129,1.42357162,1651.3815
130,1.80375746,1651.386
131,3.85551736,1651.3905
132,3.34811018,1651.395
133,4.4236025,1651.3995
134,2.59215606,1651.404
135,1.4946118,1651.4085
136,1.64207265,1651.413
137,3.02686697,1651.4175
138,4.71535415,1651.422
139,2.3183582,1651.4265
140,1.43169474,1651.431
141,1.75656337,1651.4355
142,3.54657609,1651.44
143,4.35733429,1651.4445
144,1.87677226,1651.449
145,1.42638408,1651.4535
146,1.8661971,1651.458
147,1.70776681,1651.4625
148,3.37358716,1651.467
149,4.832781,1651.4715
150,2.51773691,1651.476
151,1.53390485,1651.4805
152,1.50473356,1651.485
153,2.79761349,1651.4895
